fighter_id,fighter_name,height,weight,reach,stance,dob,wins,losses,draws
1,Tom Aaron,0,155,0,N/A,"Jul 13, 1978",5,3,0
2,Danny Abbadi,71,155,0,Orthodox,"Jul 03, 1983",4,6,0
3,Nariman Abbasov,68,155,66,Orthodox,"Feb 01, 1994",28,4,0
4,Darion Abbey,74,265,80,Orthodox,"Feb 25, 1993",9,5,0
5,David Abbott,72,265,0,Switch,"Apr 26, 1965",10,15,0
6,Hamdy Abdelwahab,74,265,72,Southpaw,"Jan 22, 1993",7,1,0
7,Mansur Abdul-Malik,74,185,80,Orthodox,"Oct 07, 1997",9,0,1
8,Shamil Abdurakhimov,75,235,76,Orthodox,"Sep 02, 1981",20,8,0
9,Hiroyuki Abe,66,145,0,Orthodox,"Feb 09, 1970",8,15,3
10,Daichi Abe,71,170,71,Orthodox,"Nov 27, 1991",6,2,0
11,Papy Abedi,71,185,0,Southpaw,"Jun 30, 1978",10,4,0
12,Ricardo Abreu,71,185,0,Orthodox,"Apr 27, 1984",5,1,0
13,Klidson Abreu,72,205,74,Orthodox,"Dec 24, 1992",15,4,0
14,Cyborg Abreu,0,0,0,N/A,"Dec 20, 1980",0,0,0
15,Daniel Acacio,68,180,0,Orthodox,"Dec 27, 1977",30,18,0
16,John Adajar,69,170,75,Orthodox,"Jun 22, 1991",6,2,0
17,Scott Adams,72,225,0,Southpaw,"Jan 01, 1900",8,1,0
18,Juan Adams,77,265,80,Orthodox,"Jan 16, 1992",5,3,0
19,Anthony Adams,73,185,76,Orthodox,"Jan 13, 1988",8,2,0
20,Zarrukh Adashev,65,125,65,Southpaw,"Jul 29, 1992",4,4,0
21,Israel Adesanya,76,185,80,Switch,"Jul 22, 1989",24,5,0
22,Sam Adkins,75,225,0,Orthodox,"Apr 26, 1965",7,20,2
23,Mohamed Ado,71,170,76,Switch,"May 03, 2000",5,1,0
24,Nick Agallar,68,155,0,Orthodox,"Jan 13, 1979",24,6,0
25,Mariya Agapova,66,125,68,Southpaw,"Apr 07, 1997",10,5,0
26,Kantharaj Agasa,0,135,0,N/A,"Feb 16, 1992",12,3,0
27,Marcelo Aguiar,70,170,0,Orthodox,"Jan 20, 1969",2,3,1
28,Fabio Aguiar,72,185,0,N/A,"Feb 10, 1988",17,1,0
29,Edwin Aguilar,70,185,0,N/A,"Jan 01, 1972",26,19,0
30,Jessica Aguilar,63,115,63,Orthodox,"May 08, 1982",20,8,0
31,Kevin Aguilar,67,155,73,Orthodox,"Sep 07, 1988",17,5,0
32,Jesus Aguilar,64,125,62,Orthodox,"Mar 13, 1996",12,3,0
33,Christian Aguilera,69,170,72,Switch,"Nov 25, 1991",14,8,0
34,Nick Aguirre,69,135,74,Southpaw,"Jan 15, 1996",7,2,0
35,Agulali,69,125,67,Switch,"Apr 07, 2005",13,2,0
36,Ahejiang Ailinuer,0,145,0,N/A,"Jan 01, 1900",15,3,0
37,Mike Aina,69,155,0,Orthodox,"Dec 25, 1980",14,6,1
38,Ashiek Ajim,68,135,71,Switch,"Jun 19, 1994",6,2,0
39,Hitomi Akano,64,135,0,Southpaw,"Jul 27, 1974",18,10,0
40,Omari Akhmedov,72,185,73,Orthodox,"Oct 12, 1987",21,6,1
41,Yoshihiro Akiyama,70,170,75,Orthodox,"Jul 29, 1975",14,6,0
42,Rostem Akman,70,170,72,Switch,"Dec 19, 1991",6,2,0
43,Razak Al-Hassan,74,205,0,Orthodox,"May 14, 1982",13,5,0
44,Abdul-Kareem Al-Selwady,68,155,69,Orthodox,"Apr 10, 1995",15,4,0
45,Mostapha Al-Turk,74,245,77,Orthodox,"Jul 14, 1973",6,6,0
46,Herdem Alacabek,74,205,75,Orthodox,"Jun 07, 1991",5,1,0
47,Javi Alanis,66,135,0,N/A,"Jan 01, 1900",0,4,0
48,Alatengheili,65,135,66,Orthodox,"Dec 14, 1991",17,10,2
49,Amir Albazi,65,125,68,Orthodox,"Oct 27, 1993",17,3,0
50,Brett Albee,0,225,0,N/A,"Jan 01, 1900",3,2,0
51,John Albert,68,135,68,Orthodox,"Oct 13, 1986",6,5,0
52,Junior Albini,75,264,74,Orthodox,"Mar 15, 1991",14,6,0
53,Wes Albritton,70,188,0,Orthodox,"Jan 01, 1900",0,1,0
54,Aleksandra Albu,62,115,63,Orthodox,"Jul 14, 1990",3,2,0
55,Israel Albuquerque,0,185,0,Orthodox,"Jan 01, 1900",0,3,0
56,Juan Alcain,0,0,0,N/A,"Jan 01, 1900",1,2,0
57,Iuri Alcantara,69,135,71,Southpaw,"Aug 04, 1980",35,10,0
58,Ildemar Alcantara,74,185,78,Orthodox,"Nov 18, 1982",21,11,0
59,Alfonso Alcarez,63,145,0,N/A,"Jun 10, 1970",1,3,1
60,Gilbert Aldana,73,250,0,Orthodox,"Aug 25, 1977",6,2,0
61,Irene Aldana,69,135,68,Orthodox,"Mar 26, 1988",15,8,0
62,Hector Aldana,71,170,72,Orthodox,"Aug 17, 1988",4,3,0
63,Jose Alday,67,135,68,Orthodox,"Sep 14, 1991",14,6,1
64,Jose Aldo,67,135,70,Orthodox,"Sep 09, 1986",32,10,0
65,JJ Aldrich,65,125,67,Southpaw,"Sep 29, 1992",14,7,0
66,Irina Alekseeva,68,135,67,Orthodox,"Jun 27, 1990",5,4,0
