fight_id,fighter_id,round,kd,sub_att,reversals,ctr_time,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted
1,2715,1,0,1,0,42:42:42,1,1,2,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0
1,874,1,0,0,0,42:42:42,0,4,1,5,0,0,0,2,0,0,0,2,0,3,0,1,0,0
2,3747,1,0,1,0,42:42:42,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0
2,4330,1,0,0,0,42:42:42,1,1,2,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0
3,3292,1,0,0,0,42:42:42,11,17,74,86,1,1,9,15,1,1,1,1,1,1,1,1,9,15
3,2233,1,0,0,0,42:42:42,4,5,95,102,0,0,4,5,0,0,0,0,1,2,2,2,1,1
4,1558,1,0,3,1,42:42:42,2,3,14,15,1,1,2,3,0,0,0,0,1,1,0,0,1,2
4,2328,1,0,0,0,42:42:42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,4295,1,0,0,0,42:42:42,8,12,11,15,0,0,7,11,1,1,0,0,1,3,0,0,7,9
5,2314,1,0,1,0,42:42:42,2,6,2,6,1,1,1,2,0,1,1,3,2,6,0,0,0,0
6,3008,1,0,1,0,42:42:42,4,6,20,22,1,1,4,5,0,0,0,1,0,1,0,0,4,5
6,2220,1,0,0,0,42:42:42,1,3,9,11,0,0,1,3,0,0,0,0,1,1,0,0,0,2
7,927,1,0,5,4,42:42:42,3,5,20,25,0,1,1,2,1,2,1,1,2,4,0,0,1,1
7,245,1,0,0,2,42:42:42,0,2,14,23,1,1,0,2,0,0,0,0,0,2,0,0,0,0
8,1458,1,0,2,0,42:42:42,2,4,110,114,1,1,0,0,0,0,2,4,2,4,0,0,0,0
8,1769,1,0,0,0,42:42:42,3,7,12,16,0,0,3,6,0,0,0,1,0,2,0,0,3,5
9,3747,1,0,0,0,42:42:42,13,17,19,25,0,0,12,16,1,1,0,0,0,0,1,1,12,16
9,2715,1,0,0,0,42:42:42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,3292,1,1,1,0,42:42:42,13,29,21,38,0,0,12,28,0,0,1,1,3,6,1,2,9,21
10,1139,1,0,0,0,42:42:42,4,7,7,11,0,0,0,1,2,4,2,2,4,7,0,0,0,0
11,3008,1,0,0,0,42:42:42,7,7,7,7,1,1,7,7,0,0,0,0,0,0,0,0,7,7
11,4295,1,0,0,0,42:42:42,1,2,5,7,0,0,0,1,0,0,1,1,1,2,0,0,0,0
12,1458,1,0,1,1,42:42:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,927,1,0,0,0,42:42:42,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,3747,1,0,1,0,42:42:42,5,12,5,12,0,0,1,4,2,2,2,6,3,10,2,2,0,0
13,3292,1,0,0,0,42:42:42,4,9,4,9,0,0,2,5,0,0,2,4,4,9,0,0,0,0
14,1458,1,0,1,0,42:42:42,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
14,3008,1,0,0,0,42:42:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1458,1,0,0,0,42:42:42,4,4,11,11,1,2,3,3,0,0,1,1,0,0,1,1,3,3
15,3747,1,0,0,0,42:42:42,1,2,2,3,0,0,0,0,1,2,0,0,0,1,1,1,0,0
16,1538,1,1,0,0,42:42:42,34,50,36,52,0,0,29,45,0,0,5,5,6,8,2,3,26,39
16,4382,1,0,0,0,42:42:42,1,5,4,9,0,1,1,5,0,0,0,0,0,2,0,0,1,3
17,3644,1,0,0,0,42:42:42,8,9,16,20,1,1,5,6,3,3,0,0,0,1,0,0,8,8
17,2216,1,0,0,0,42:42:42,1,2,21,23,0,0,1,2,0,0,0,0,1,2,0,0,0,0
18,1737,1,1,0,0,42:42:42,9,12,12,15,0,1,9,12,0,0,0,0,1,4,4,4,4,4
18,3048,1,0,0,0,42:42:42,3,4,3,4,1,2,0,0,2,2,1,2,2,2,1,2,0,0
19,1458,1,0,1,1,42:42:42,2,6,17,21,0,2,1,1,0,2,1,3,0,0,2,6,0,0
19,2224,1,0,0,1,42:42:42,6,9,6,10,1,1,3,6,2,2,1,1,0,1,3,3,3,5
