fight_id,event_name,fight_date,weight_class,winner,win_method,detail,round,end_time,referee,city,state,country,title_bout
1,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Scott Morris,Submission,Guillotine Choke From Mount,1,0:20,John McCarthy,Denver,Colorado,USA,False
2,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Patrick Smith,Submission,Guillotine Choke Standing,1,0:58,John McCarthy,Denver,Colorado,USA,False
3,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Johnny Rhodes,KO/TKO,"Punches to Head From Guard
      Submission to Strikes",1,12:13,John McCarthy,Denver,Colorado,USA,False
4,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Frank Hamaker,Submission,Keylock From Half Guard,1,4:52,John McCarthy,Denver,Colorado,USA,False
5,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Orlando Wiet,KO/TKO,"to    
      Corner Stoppage",1,2:50,John McCarthy,Denver,Colorado,USA,False
6,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Remco Pardoel,Submission,Ezekiel Choke From Side Control,1,9:51,John McCarthy,Denver,Colorado,USA,False
7,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Jason DeLucia,Submission,Triangle Choke From Mount,1,6:41,John McCarthy,Denver,Colorado,USA,False
8,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Royce Gracie,Submission,Armbar On Ground,1,5:08,John McCarthy,Denver,Colorado,USA,False
9,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Patrick Smith,KO/TKO,Elbows to Head From Mount,1,0:30,John McCarthy,Denver,Colorado,USA,False
10,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Johnny Rhodes,Submission,Bulldog Choke On Ground,1,3:07,John McCarthy,Denver,Colorado,USA,False
11,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Remco Pardoel,KO/TKO,Elbows to Head From Side Control,1,1:29,John McCarthy,Denver,Colorado,USA,False
12,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Royce Gracie,Submission,Armbar From Mount,1,1:07,John McCarthy,Denver,Colorado,USA,False
13,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Patrick Smith,Submission,Guillotine Choke Standing,1,1:07,John McCarthy,Denver,Colorado,USA,False
14,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Royce Gracie,Submission,Gi Choke From Back Control,1,1:31,John McCarthy,Denver,Colorado,USA,False
15,UFC 2: No Way Out,"March 11, 1994",UFC 2 Tournament Title Bout,Royce Gracie,KO/TKO,"Punches to Head From Mount
      Submission to Strikes",1,1:17,John McCarthy,Denver,Colorado,USA,True
16,UFC 3: The American Dream,"September 09, 1994",Open Weight Bout,Keith Hackney,KO/TKO,Punches to Head On Ground,1,1:59,John McCarthy,Charlotte,North Carolina,USA,False
17,UFC 3: The American Dream,"September 09, 1994",Open Weight Bout,Ken Shamrock,KO/TKO,"Punches to Head From Half Guard
      Submission to Strikes",1,4:49,John McCarthy,Charlotte,North Carolina,USA,False
18,UFC 3: The American Dream,"September 09, 1994",Open Weight Bout,Harold Howard,KO/TKO,Punches to Head In Clinch,1,0:46,John McCarthy,Charlotte,North Carolina,USA,False
19,UFC 3: The American Dream,"September 09, 1994",Open Weight Bout,Royce Gracie,Submission,Armbar From Bottom Guard,1,4:40,John McCarthy,Charlotte,North Carolina,USA,False
20,UFC 3: The American Dream,"September 09, 1994",Open Weight Bout,Ken Shamrock,Submission,Rear Naked Choke,1,4:34,John McCarthy,Charlotte,North Carolina,USA,False
21,UFC 3: The American Dream,"September 09, 1994",UFC 3 Tournament Title Bout,Steve Jennum,KO/TKO,"Punches to Head From Mount
      Submission to Strikes",1,1:27,John McCarthy,Charlotte,North Carolina,USA,True
22,UFC 4: Revenge of the Warriors,"December 16, 1994",Open Weight Bout,Joe Charles,Submission,Armbar,1,0:14,John McCarthy,Tulsa,Oklahoma,USA,False
23,UFC 4: Revenge of the Warriors,"December 16, 1994",Open Weight Bout,Marcus Bossett,KO/TKO,to,1,4:55,John McCarthy,Tulsa,Oklahoma,USA,False
24,UFC 4: Revenge of the Warriors,"December 16, 1994",Open Weight Bout,Guy Mezger,KO/TKO,"to    
      Corner Stoppage",1,2:13,John McCarthy,Tulsa,Oklahoma,USA,False
25,UFC 4: Revenge of the Warriors,"December 16, 1994",Open Weight Bout,Royce Gracie,Submission,Rear Naked Choke,1,3:49,John McCarthy,Tulsa,Oklahoma,USA,False
26,UFC 4: Revenge of the Warriors,"December 16, 1994",Open Weight Bout,Keith Hackney,Submission,Other - Choke From Side Control,1,2:44,John McCarthy,Tulsa,Oklahoma,USA,False
27,UFC 4: Revenge of the Warriors,"December 16, 1994",Open Weight Bout,Steve Jennum,Submission,Armbar From Mount,1,4:47,John McCarthy,Tulsa,Oklahoma,USA,False
28,UFC 4: Revenge of the Warriors,"December 16, 1994",Open Weight Bout,Dan Severn,Submission,Rear Naked Choke,1,1:45,John McCarthy,Tulsa,Oklahoma,USA,False
29,UFC 4: Revenge of the Warriors,"December 16, 1994",Open Weight Bout,Royce Gracie,Submission,Armbar From Bottom Guard,1,5:32,John McCarthy,Tulsa,Oklahoma,USA,False
30,UFC 4: Revenge of the Warriors,"December 16, 1994",Open Weight Bout,Dan Severn,Submission,Arm Triangle From Mount,1,0:52,John McCarthy,Tulsa,Oklahoma,USA,False
31,UFC 4: Revenge of the Warriors,"December 16, 1994",UFC 4 Tournament Title Bout,Royce Gracie,Submission,Triangle Choke From Bottom Guard,1,15:49,John McCarthy,Tulsa,Oklahoma,USA,True
32,UFC 5: The Return of the Beast,"April 07, 1995",Open Weight Bout,Dave Beneteau,KO/TKO,"to    
      Corner Stoppage",1,0:21,Lonnie Foster,Charlotte,North Carolina,USA,False
33,UFC 5: The Return of the Beast,"April 07, 1995",Open Weight Bout,Guy Mezger,KO/TKO,Punches to Head From Mount,1,2:02,John McCarthy,Charlotte,North Carolina,USA,False
34,UFC 5: The Return of the Beast,"April 07, 1995",Open Weight Bout,Jon Hess,KO/TKO,Knees to Head On Ground,1,1:23,John McCarthy,Charlotte,North Carolina,USA,False
35,UFC 5: The Return of the Beast,"April 07, 1995",Open Weight Bout,Todd Medina,Submission,Forearm Choke From Half Guard,1,2:55,John McCarthy,Charlotte,North Carolina,USA,False
36,UFC 5: The Return of the Beast,"April 07, 1995",Open Weight Bout,Oleg Taktarov,Submission,Scarf Hold From Side Control,1,2:23,John McCarthy,Charlotte,North Carolina,USA,False
37,UFC 5: The Return of the Beast,"April 07, 1995",Open Weight Bout,Dan Severn,Submission,Rear Naked Choke,1,1:38,John McCarthy,Charlotte,North Carolina,USA,False
38,UFC 5: The Return of the Beast,"April 07, 1995",Open Weight Bout,Dave Beneteau,KO/TKO,"Punches to Head From Mount
      Submission to Strikes",1,2:12,John McCarthy,Charlotte,North Carolina,USA,False
39,UFC 5: The Return of the Beast,"April 07, 1995",Open Weight Bout,Dan Severn,TKO - Doctor's Stoppage,Facial Cut,1,4:21,John McCarthy,Charlotte,North Carolina,USA,False
40,UFC 5: The Return of the Beast,"April 07, 1995",UFC Superfight Championship Bout,Draw,Other,Time Expired,2,5:00,John McCarthy,Charlotte,North Carolina,USA,True
41,UFC 5: The Return of the Beast,"April 07, 1995",UFC 5 Tournament Title Bout,Dan Severn,Submission,Keylock From Side Control,1,3:01,John McCarthy,Charlotte,North Carolina,USA,True
42,UFC 6: Clash of the Titans,"July 14, 1995",Open Weight Bout,Joel Sutton,KO/TKO,"Punches to Head From Back Control
      Submission to Strikes",1,2:01,John McCarthy,Casper,Wyoming,USA,False
43,UFC 6: Clash of the Titans,"July 14, 1995",Open Weight Bout,Anthony Macias,KO/TKO,"Headbutts to Head From Mount
      Submission to Strikes",1,3:06,John McCarthy,Casper,Wyoming,USA,False
44,UFC 6: Clash of the Titans,"July 14, 1995",Open Weight Bout,David Abbott,KO/TKO,Punches to Head At Distance,1,0:20,John McCarthy,Casper,Wyoming,USA,False
45,UFC 6: Clash of the Titans,"July 14, 1995",Open Weight Bout,Paul Varelans,KO/TKO,Elbow to Head In Clinch,1,1:02,John McCarthy,Casper,Wyoming,USA,False
46,UFC 6: Clash of the Titans,"July 14, 1995",Open Weight Bout,Patrick Smith,Submission,Rear Naked Choke,1,1:08,John McCarthy,Casper,Wyoming,USA,False
47,UFC 6: Clash of the Titans,"July 14, 1995",Open Weight Bout,Oleg Taktarov,Submission,Guillotine Choke After Drop to Guard,1,0:57,John McCarthy,Casper,Wyoming,USA,False
48,UFC 6: Clash of the Titans,"July 14, 1995",Open Weight Bout,David Abbott,KO/TKO,Punches to Head From Half Guard,1,1:53,John McCarthy,Casper,Wyoming,USA,False
49,UFC 6: Clash of the Titans,"July 14, 1995",Open Weight Bout,Oleg Taktarov,Submission,Guillotine Choke After Drop to Ground,1,0:09,John McCarthy,Casper,Wyoming,USA,False
