fight_id,fighter_id
1,874
1,2715
2,4329
2,3747
3,2232
3,3292
4,2327
4,1557
5,2313
5,4294
6,2219
6,3008
7,245
7,927
8,1768
8,1457
9,2715
9,3747
10,1139
10,3292
11,4294
11,3008
12,927
12,1457
13,3292
13,3747
14,3008
14,1457
15,3747
15,1457
16,4381
16,1537
17,2215
17,3644
18,3048
18,1736
19,2223
19,1457
20,2636
20,3644
21,1736
21,1851
22,3415
22,663
23,949
23,421
24,1161
24,2588
25,4131
25,1457
26,3781
26,1537
27,432
27,1851
28,2349
28,3635
29,1537
29,1457
30,421
30,3635
31,3635
31,1457
32,582
32,327
33,1009
33,2588
34,136
34,1660
35,836
35,2552
36,4166
36,3947
37,663
37,3635
38,2552
38,327
39,3947
39,3635
40,1457
40,3644
41,327
41,3635
42,2527
42,3911
43,1391
43,2349
44,2485
44,5
45,4342
45,4140
46,2667
46,3747
47,327
47,3947
48,4140
48,5
49,2349
49,3947
50,3635
50,3644
51,5
51,3947
52,1948
52,3911
53,2486
53,3027
54,1716
54,352
55,1583
55,4140
56,1736
56,1548
57,3019
57,3008
58,836
58,3434
59,1548
59,4140
60,3008
60,3434
61,3947
61,3644
62,4140
62,3434
63,352
63,663
64,1846
64,1548
65,1851
65,5
66,4140
66,3635
67,1537
67,3434
68,327
68,3947
69,5
69,3635
70,3434
70,3947
71,3947
71,3635
72,2597
72,22
73,3232
73,1285
74,2700
74,4140
75,1195
75,398
76,1654
76,1437
77,22
77,1285
78,398
78,1437
79,2223
79,3644
80,1437
80,1285
81,431
81,2818
82,1264
82,4342
83,135
83,603
84,1437
84,3598
85,2045
85,1548
86,368
86,1285
87,3644
87,3635
88,348
88,1948
89,2636
89,22
90,1548
90,1285
91,1199
91,1889
92,1721
92,733
93,576
93,1437
94,1889
94,1285
95,1437
95,733
96,1285
96,733
97,1297
97,1195
98,346
98,4054
99,3497
99,733
100,2802
100,1889
101,22
101,5
102,1524
102,398
103,1889
103,733
104,5
104,1195
105,2636
105,1548
106,421
106,2818
107,2848
107,431
108,1437
108,1285
109,4342
109,5
110,4140
110,2223
111,1889
111,3644
112,1548
112,1285
113,2818
113,5
114,5
114,1285
115,2191
115,3547
116,2439
116,2440
117,2447
117,398
118,1803
118,3941
119,2737
119,1195
120,3985
120,319
121,3547
121,398
122,1195
122,319
123,3635
123,733
124,53
124,2951
125,1731
125,2848
126,2215
126,2588
127,78
127,1786
128,3854
128,1474
129,1553
129,792
130,2951
130,2588
131,1474
131,792
132,5
132,319
133,662
133,1287
134,1297
134,1760
135,4146
135,2700
136,538
136,1815
137,1721
137,2003
138,1889
138,388
139,1287
139,1815
140,388
140,2003
141,733
141,3746
142,2718
142,1760
143,994
143,631
144,3877
144,2003
145,279
145,327
146,319
146,792
147,631
147,2003
148,5
148,3746
149,2066
149,3985
150,154
150,5
151,3716
151,3473
152,1815
152,3645
153,663
153,319
154,3716
154,3473
155,3746
155,792
156,3890
156,704
157,4085
157,457
158,3931
158,523
159,3567
159,2602
160,1815
160,398
161,457
161,2602
162,2223
162,2068
163,4448
163,3645
164,1646
164,2245
165,2718
165,3341
166,1402
166,1629
167,1386
167,2831
168,3006
168,4129
169,1022
169,5
170,2831
170,1629
171,733
171,4304
172,1725
172,3645
173,3529
173,2430
174,3528
174,2998
175,1725
175,443
176,4304
176,2068
177,523
177,2602
178,5
178,3336
179,3682
179,319
180,2275
180,3645
181,594
181,704
182,1363
182,3959
183,3567
183,523
184,398
184,2951
185,733
185,3336
186,3034
186,2602
187,2068
187,3445
188,3343
188,2158
189,1401
189,4304
190,1771
190,3959
191,3746
191,3245
192,2245
192,1725
193,3341
193,1437
194,2588
194,2951
195,744
195,4251
196,1773
196,704
197,3342
197,2566
198,3104
198,3682
199,1296
199,4304
200,3985
200,3336
201,3245
201,3445
202,981
202,1296
203,4251
203,3341
204,78
204,1816
205,2135
205,2068
206,2723
206,1893
207,3943
207,1725
208,3052
208,2602
209,3434
209,3746
210,59
210,3199
211,137
211,2235
212,1771
212,1749
213,1893
213,2245
214,1933
214,2066
215,1401
215,1725
216,4251
216,2135
217,2951
217,3645
218,4380
218,1290
219,3943
219,4364
220,4363
220,1816
221,927
221,3743
222,1290
222,4364
223,2068
223,3336
224,4304
224,3245
225,1520
225,620
226,1267
226,17
227,4155
227,3199
228,1364
228,750
229,1773
229,2578
230,146
230,1369
231,1933
231,4303
232,2913
232,704
233,3743
233,2624
234,1715
234,4251
235,1816
235,2018
236,154
236,534
237,3682
237,2951
238,3631
238,620
239,3596
239,1267
240,3406
240,3199
241,27
241,1749
242,143
242,368
243,69
243,2602
244,981
244,3344
245,3336
245,3245
246,1183
246,1520
247,2135
247,2669
248,4303
248,1267
249,869
249,2071
250,704
250,1773
251,1816
251,1725
252,1688
252,3746
253,3635
253,3336
254,2334
254,1057
255,3863
255,1750
256,2235
256,3199
257,464
257,180
258,2522
258,273
259,3746
259,3775
260,3245
260,792
261,2669
261,2245
262,1749
262,1551
263,1369
263,3959
264,3943
264,1773
265,154
265,2262
266,4364
266,2602
267,2071
267,2951
268,1364
268,3651
269,3878
269,277
270,3354
270,1688
271,273
271,3336
272,1725
272,3731
273,1866
273,1773
274,4100
274,3199
275,3959
275,2951
276,339
276,937
277,1377
277,3068
278,93
278,2262
279,4304
279,3587
280,3629
280,620
281,3245
281,2245
282,2602
282,2831
283,3336
283,792
284,3369
284,937
285,180
285,3370
286,2071
286,2487
287,1773
287,4100
288,620
288,2602
289,3587
289,273
290,4003
290,3068
291,3731
291,2951
292,1773
292,4003
293,1816
293,93
294,937
294,2789
295,635
295,2578
296,1070
296,3629
297,534
297,2245
298,1551
298,3199
299,2487
299,2951
300,4054
300,2627
301,277
301,2262
302,2682
302,3959
303,1688
303,273
304,4100
304,3068
305,2831
305,1749
306,4304
306,3370
307,3336
307,792
308,3363
308,1816
309,457
309,635
310,3775
310,3245
311,93
311,3619
312,3902
312,2245
313,2578
313,534
314,2669
314,3370
315,3068
315,3199
316,2789
316,3651
317,1038
317,3629
318,4304
318,2627
319,3731
319,3959
320,2602
320,2262
321,3474
321,1749
322,180
322,3336
323,792
323,273
324,3314
324,2167
325,339
325,3218
326,3619
326,3477
327,1070
327,4100
328,3902
328,277
329,805
329,3068
330,2068
330,3370
331,2262
331,534
332,3140
332,1070
333,3435
333,1287
334,339
334,2167
335,2248
335,3831
336,3630
336,3218
337,319
337,2245
338,1597
338,3959
339,3731
339,3775
340,4445
340,2604
341,3276
341,3895
342,1816
342,4271
343,2627
343,1267
344,2831
344,1749
345,3218
345,3651
346,3477
346,2262
347,2578
347,277
348,3336
348,2522
349,4003
349,4100
350,3629
350,3068
351,771
351,3925
352,792
352,3370
353,4271
353,2604
354,4328
354,2487
355,1267
355,180
356,1364
356,2167
357,3831
357,2831
358,635
358,1749
359,3775
359,2245
360,3644
360,2951
361,714
361,1070
362,869
362,2522
363,3629
363,4003
364,3336
364,2487
365,277
365,2262
366,4100
366,3068
367,5
367,2627
368,3370
368,3925
369,4271
369,2281
370,816
370,1255
371,3895
371,2318
372,3959
372,1260
373,108
373,771
374,168
374,3883
375,2167
375,3831
376,3651
376,1749
377,3985
377,3336
378,2262
378,4198
379,3440
379,1070
380,3722
380,2627
381,1267
381,4281
382,1059
382,319
383,5
383,2223
384,2245
384,792
385,4100
385,1255
386,1818
386,955
387,3885
387,4012
388,3883
388,3011
389,941
389,1260
390,2281
390,3327
391,2522
391,3925
392,2487
392,180
393,2951
393,792
394,24
394,1070
395,2250
395,3363
396,3370
396,3336
397,2334
397,2167
398,277
398,3959
399,5
399,771
400,4198
400,2262
401,4059
401,1749
402,837
402,3629
403,1255
403,4012
404,3011
404,3833
405,3327
405,2760
406,3722
406,2627
407,1749
407,3068
408,2831
408,4170
409,792
409,319
410,479
410,3895
411,3660
411,4295
412,3722
412,2120
413,2167
413,955
414,771
414,180
415,1255
415,1070
416,1364
416,2334
417,2951
417,2245
418,3878
418,3175
419,1666
419,3833
420,2577
420,3629
421,277
421,3959
422,4170
422,1749
423,3925
423,2627
424,1551
424,4059
425,2223
425,3644
426,4012
426,1070
427,955
427,3011
428,1856
428,2334
429,2120
429,1078
430,2262
430,3990
431,4281
431,2245
432,983
432,3312
433,319
433,792
434,1059
434,2328
435,1287
435,3477
436,2167
436,3959
437,4170
437,4059
438,3833
438,1749
439,3327
439,1260
440,787
440,2951
441,1198
441,955
442,2334
442,3011
443,3252
443,2281
444,1793
444,2120
445,1078
445,512
446,3990
446,3959
447,3925
447,180
448,277
448,3617
449,319
449,2951
450,3223
450,1966
451,3592
451,3917
452,3726
452,3209
453,3513
453,2080
454,3996
454,2183
455,3807
455,1690
456,1232
456,3495
457,410
457,1492
458,3644
458,1260
459,2431
459,4129
460,787
460,983
461,3312
461,3477
462,2605
462,3833
463,2328
463,2262
464,4059
464,1749
465,4328
465,3775
466,792
466,2245
467,2913
467,955
468,2504
468,2281
469,620
469,3209
470,1913
470,512
471,2379
471,1492
472,3959
472,1260
473,3629
473,3011
474,1078
474,180
475,2816
475,1198
476,1966
476,1232
477,3252
477,3917
478,3831
478,2080
479,3617
479,3209
480,1690
480,410
481,787
481,2183
482,3477
482,2426
483,2438
483,1793
484,2328
484,3175
485,983
485,2262
486,4059
486,3833
487,1347
487,3495
488,4129
488,792
489,3985
489,3925
490,1725
490,2245
491,1666
491,1449
492,2154
492,1222
493,112
493,1219
494,2080
494,1198
495,3583
495,4161
496,941
496,2183
497,3959
497,2281
498,1160
498,3470
499,2106
499,818
500,1551
500,3327
501,2334
501,3312
502,3788
502,3775
503,3731
503,1492
504,1329
504,1679
505,512
505,180
506,3578
506,1836
507,879
507,1516
508,2708
508,520
509,759
509,1232
510,830
510,3858
511,1780
511,1143
512,955
512,3495
513,4326
513,4008
514,657
514,112
515,2830
515,1690
516,3175
516,1725
517,3651
517,3833
518,3312
518,1749
519,1913
519,1422
520,3209
520,1260
521,1966
521,4207
522,3314
522,1219
523,1449
523,2318
524,1516
524,2816
525,3327
525,2183
526,1198
526,520
527,1793
527,410
528,3680
528,3925
529,4287
529,1836
530,1679
530,2669
531,60
531,512
532,3731
532,3470
533,955
533,3312
534,4129
534,3775
535,2627
535,818
536,1078
536,4161
537,792
537,2245
538,2151
538,2754
539,2339
539,2139
540,1219
540,3879
541,1070
541,1710
542,983
542,2426
543,3068
543,3833
544,4184
544,3917
545,2281
545,1260
546,3175
546,3788
547,657
547,2080
548,1780
548,693
549,520
549,1222
550,4207
550,830
551,1215
551,2183
552,3858
552,2816
553,1690
553,1143
554,1836
554,410
555,2857
555,112
556,2438
556,2139
557,3748
557,3990
558,4008
558,3011
559,818
559,2669
560,2230
560,3959
561,1492
561,2951
562,955
562,3651
563,180
563,3925
564,878
564,1516
565,3583
565,1422
566,4321
566,1219
567,3788
567,1725
568,3312
568,3917
569,3680
569,4161
570,69
570,3495
571,3470
571,2269
572,1457
572,1749
573,740
573,2839
574,1242
574,1560
575,1763
575,1215
576,2
576,3844
577,3155
577,3728
578,1451
578,1836
579,1643
579,1503
580,1613
580,367
581,3879
581,1232
582,2230
582,3522
583,3419
583,2339
584,112
584,1222
585,1679
585,2139
586,2578
586,2080
587,1523
587,1710
588,410
588,1143
589,2183
589,3681
590,830
590,1449
591,3059
591,1198
592,60
592,2074
593,3096
593,2669
594,1914
594,1255
595,1070
595,3858
596,693
596,2627
597,3644
597,2951
598,2816
598,520
599,180
599,3925
600,1616
600,4039
601,2708
601,3117
602,2596
602,2891
603,4207
603,3312
604,4225
604,1954
605,1449
605,2080
606,3555
606,2269
607,3522
607,2183
608,3011
608,3495
609,318
609,2915
610,4231
610,1619
611,740
611,1451
612,2339
612,3577
613,4142
613,1255
614,4272
614,2074
615,2816
615,955
616,410
616,1492
617,3775
617,2245
618,2190
618,1493
619,2
619,1523
620,2824
620,3496
621,934
621,1747
622,3199
622,2161
623,2139
623,1143
624,3438
624,1516
625,2281
625,3917
626,3068
626,1749
627,3117
627,879
628,69
628,112
629,1613
629,3728
630,1614
630,937
631,4225
631,2426
632,3113
632,1560
633,1643
633,2338
634,3183
634,1503
635,3644
635,2951
636,208
636,3059
637,1827
637,1514
638,3844
638,2915
639,2162
639,1219
640,2074
640,2429
641,1682
641,1222
642,1232
642,3651
643,1260
643,3681
644,2209
644,1954
645,3252
645,2504
646,3617
646,3748
647,1818
647,3831
648,941
648,3327
649,714
649,4003
650,787
650,2328
651,2334
651,3629
652,3666
652,2891
653,3233
653,1793
654,3065
654,1573
655,4017
655,955
656,2635
656,3858
657,2627
657,4161
658,3470
658,2520
659,2669
659,3925
660,1749
660,3833
661,546
661,705
662,2783
662,2154
663,2578
663,1215
664,3522
664,318
665,4124
665,1619
666,620
666,879
667,1198
667,3011
668,1920
668,2080
669,3312
669,3495
670,3096
670,4272
671,3728
671,2915
672,2429
672,1422
673,937
673,112
674,3577
674,367
675,818
675,180
676,2183
676,2338
677,1492
677,1836
678,2951
678,2245
679,3155
679,714
680,1514
680,4003
681,3183
681,1643
682,3271
682,520
683,2269
683,2426
684,1219
684,1255
685,1659
685,2891
686,3485
686,1143
687,3551
687,1614
688,1690
688,2347
689,1493
689,1067
690,3327
690,2438
691,3748
691,787
692,1059
692,1817
693,1555
693,1747
694,3496
694,1210
695,2328
695,3681
696,1382
696,4142
697,934
697,4017
698,1215
698,1222
699,1701
699,1560
700,3775
700,2139
701,2334
701,1749
702,2338
702,1260
703,2520
703,1954
704,3925
704,792
705,2082
705,3967
706,714
706,609
707,3117
707,1682
708,2659
708,3059
709,2783
709,1198
710,3113
710,1451
711,2635
711,1232
712,1573
712,2512
713,1516
713,3858
714,1613
714,830
715,3831
715,879
716,3617
716,2209
717,1780
717,1659
718,318
718,1503
719,3917
719,2915
720,1334
720,1747
721,3495
721,2080
722,3833
722,3629
723,902
723,3971
724,3738
724,2244
725,4124
725,3470
726,2190
726,208
727,1491
727,1138
728,3680
728,2074
729,1619
729,2347
730,3731
730,367
731,4275
731,180
732,1210
732,1422
733,2429
733,1451
734,3855
734,4003
735,3485
735,318
736,1793
736,3683
737,2183
737,3844
738,1836
738,70
739,3477
739,2438
740,520
740,3011
741,2245
741,1817
742,641
742,2659
743,3271
743,1869
744,798
744,4017
745,3831
745,2510
746,1215
746,3117
747,373
747,3967
748,3219
748,2520
749,609
749,1222
750,3879
750,1219
751,2332
751,1614
752,3355
752,3496
753,3956
753,879
754,3748
754,1643
755,1514
755,1493
756,3728
756,2338
757,3233
757,1492
758,2915
758,1260
759,1359
759,4321
760,350
760,1334
761,1102
761,2494
762,4236
762,2608
763,2563
763,2161
764,1144
764,1747
765,3918
765,2209
766,1323
766,956
767,3199
767,3068
768,389
768,1067
769,1382
769,2334
770,3551
770,1523
771,2839
771,410
772,1659
772,2861
773,1255
773,3651
774,2951
774,1143
775,2426
775,3681
776,3356
776,1232
777,216
777,1514
778,1852
778,2209
779,1573
779,2627
780,1619
780,3775
781,1503
781,787
782,3059
782,3858
783,803
783,1747
784,2080
784,3833
785,1422
785,792
786,4039
786,2244
787,2082
787,3738
788,1019
788,3683
789,1138
789,4017
790,3470
790,70
791,3971
791,879
792,1210
792,2074
793,1560
793,367
794,1629
794,1817
795,1449
795,1614
796,1682
796,112
797,4167
797,2494
798,1334
798,2608
799,902
799,830
800,3617
800,3209
801,208
801,956
802,2438
802,2183
803,4003
803,1232
804,2944
804,4321
805,1939
805,4272
806,3551
806,3855
807,1869
807,714
808,3967
808,1493
809,2782
809,2347
810,3495
810,1222
811,3432
811,1492
812,2245
812,1836
813,373
813,1491
814,3117
814,520
815,1852
815,2381
816,2338
816,2915
817,3844
817,318
818,3577
818,410
819,1523
819,3356
820,4161
820,3925
821,1260
821,3681
822,2510
822,1421
823,641
823,216
824,3272
824,2161
825,2334
825,112
826,1219
826,1067
827,983
827,1643
828,688
828,3011
829,70
829,3683
830,367
830,1143
831,1358
831,1449
832,3182
832,2644
833,2070
833,188
834,1670
834,2401
835,278
835,3568
836,2601
836,3799
837,3392
837,2348
838,3819
838,871
839,1514
839,1747
840,1144
840,389
841,937
841,609
842,3219
842,2269
843,2659
843,1323
844,585
844,1793
845,1516
845,714
846,3776
846,2347
847,2996
847,3496
848,3682
848,2245
849,1749
849,3833
850,1080
850,3879
851,2189
851,3470
852,3971
852,1993
853,3355
853,1573
854,1503
854,3327
855,2139
855,1451
856,2244
856,879
