"fight_id","event_name","fight_date","weight_class","title_bout","winner","win_method","f1_fighter_id","f1_name","f1_height","f1_weight","f1_reach","f1_stance","f1_dob","f1_wins","f1_losses","f1_draws","f1_slpm","f1_str_acc","f1_sapm","f1_str_def","f1_td_avg","f1_td_acc","f1_td_def","f1_sub_avg","f2_fighter_id","f2_name","f2_height","f2_weight","f2_reach","f2_stance","f2_dob","f2_wins","f2_losses","f2_draws","f2_slpm","f2_str_acc","f2_sapm","f2_str_def","f2_td_avg","f2_td_acc","f2_td_def","f2_sub_avg"
1,"UFC 2: No Way Out","1994-03-11","Open Weight Bout",False,"Scott Morris","Submission",874,"Sean Daugherty",72,175,0,"NaN","1975-12-04","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2715,"Scott Morris",70,210,0,"Orthodox","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,"UFC 2: No Way Out","1994-03-11","Open Weight Bout",False,"Patrick Smith","Submission",3747,"Patrick Smith",74,225,0,"Orthodox","1963-08-28","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4330,"Ray Wizard",0,0,0,"NaN","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,"UFC 2: No Way Out","1994-03-11","Open Weight Bout",False,"Johnny Rhodes","KO/TKO",2233,"David Levicki",77,275,0,"NaN","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3292,"Johnny Rhodes",72,210,0,"Orthodox","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,"UFC 2: No Way Out","1994-03-11","Open Weight Bout",False,"Frank Hamaker","Submission",1558,"Frank Hamaker",0,0,0,"NaN","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2328,"Thaddeus Luster",75,210,0,"NaN","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,"UFC 2: No Way Out","1994-03-11","Open Weight Bout",False,"Orlando Wiet","KO/TKO",2314,"Robert Lucarelli",74,245,0,"NaN","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4295,"Orlando Wiet",70,170,0,"Southpaw","1965-10-24","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,"UFC 2: No Way Out","1994-03-11","Open Weight Bout",False,"Remco Pardoel","Submission",2220,"Alberta Cerra Leon",68,238,0,"NaN","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3008,"Remco Pardoel",75,260,0,"Southpaw","1969-05-23","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,"UFC 2: No Way Out","1994-03-11","Open Weight Bout",False,"Jason DeLucia","Submission",245,"Scott Baker",72,210,0,"NaN","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,927,"Jason DeLucia",71,190,0,"Southpaw","1969-07-24","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,"UFC 2: No Way Out","1994-03-11","Open Weight Bout",False,"Royce Gracie","Submission",1458,"Royce Gracie",73,175,0,"Southpaw","1966-12-12","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1769,"Minoki Ichihara",67,178,0,"Orthodox","1968-06-30","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,"UFC 2: No Way Out","1994-03-11","Open Weight Bout",False,"Patrick Smith","KO/TKO",2715,"Scott Morris",70,210,0,"Orthodox","1900-01-01","1","0","0","3.00000000000000000003","1.00000000000000000000","0.00000000000000000000","1.00000000000000000000","45.00000000000000000045","1.00000000000000000000",NULL,"45.00000000000000000045",3747,"Patrick Smith",74,225,0,"Orthodox","1963-08-28","1","0","0","1.03448275862068965517","1.00000000000000000000","1.03448275862068965517","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000",NULL,"15.51724137931034482755"
10,"UFC 2: No Way Out","1994-03-11","Open Weight Bout",False,"Johnny Rhodes","Submission",1139,"Fred Ettish",72,180,0,"Southpaw","1955-10-12","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3292,"Johnny Rhodes",72,210,0,"Orthodox","1900-01-01","1","0","0","0.90040927694406548185","0.64705882352941176471","0.32742155525238744795","0.20000000000000000000","1.22783083219645292985","1.00000000000000000000",NULL,"0.00000000000000000000"
