fight_id,fighter_id,round,kd,sig_str,total_str,td,sub_att,reversals,ctr_time,head,body,leg,distance,clinch,ground
1,2715,1,0,1 of 1,2 of 2,1 of 1,1,0,--,1 of 1,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0
1,874,1,0,0 of 4,1 of 5,0 of 0,0,0,--,0 of 2,0 of 0,0 of 2,0 of 3,0 of 1,0 of 0
2,3747,1,0,1 of 1,1 of 1,0 of 1,1,0,--,0 of 0,1 of 1,0 of 0,0 of 0,1 of 1,0 of 0
2,4330,1,0,1 of 1,2 of 2,0 of 0,0,0,--,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0
3,3292,1,0,11 of 17,74 of 86,1 of 1,0,0,--,9 of 15,1 of 1,1 of 1,1 of 1,1 of 1,9 of 15
3,2233,1,0,4 of 5,95 of 102,0 of 0,0,0,--,4 of 5,0 of 0,0 of 0,1 of 2,2 of 2,1 of 1
4,1558,1,0,2 of 3,14 of 15,1 of 1,3,1,--,2 of 3,0 of 0,0 of 0,1 of 1,0 of 0,1 of 2
4,2328,1,0,0 of 0,0 of 0,0 of 1,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
5,4295,1,0,8 of 12,11 of 15,0 of 0,0,0,--,7 of 11,1 of 1,0 of 0,1 of 3,0 of 0,7 of 9
5,2314,1,0,2 of 6,2 of 6,1 of 1,1,0,--,1 of 2,0 of 1,1 of 3,2 of 6,0 of 0,0 of 0
6,3008,1,0,4 of 6,20 of 22,1 of 1,1,0,--,4 of 5,0 of 0,0 of 1,0 of 1,0 of 0,4 of 5
6,2220,1,0,1 of 3,9 of 11,0 of 0,0,0,--,1 of 3,0 of 0,0 of 0,1 of 1,0 of 0,0 of 2
7,927,1,0,3 of 5,20 of 25,0 of 1,5,4,--,1 of 2,1 of 2,1 of 1,2 of 4,0 of 0,1 of 1
7,245,1,0,0 of 2,14 of 23,1 of 1,0,2,--,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0
8,1458,1,0,2 of 4,110 of 114,1 of 1,2,0,--,0 of 0,0 of 0,2 of 4,2 of 4,0 of 0,0 of 0
8,1769,1,0,3 of 7,12 of 16,0 of 0,0,0,--,3 of 6,0 of 0,0 of 1,0 of 2,0 of 0,3 of 5
9,3747,1,0,13 of 17,19 of 25,0 of 0,0,0,--,12 of 16,1 of 1,0 of 0,0 of 0,1 of 1,12 of 16
9,2715,1,0,0 of 0,0 of 0,0 of 1,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
10,3292,1,1,13 of 29,21 of 38,0 of 0,1,0,--,12 of 28,0 of 0,1 of 1,3 of 6,1 of 2,9 of 21
10,1139,1,0,4 of 7,7 of 11,0 of 0,0,0,--,0 of 1,2 of 4,2 of 2,4 of 7,0 of 0,0 of 0
11,3008,1,0,7 of 7,7 of 7,1 of 1,0,0,--,7 of 7,0 of 0,0 of 0,0 of 0,0 of 0,7 of 7
11,4295,1,0,1 of 2,5 of 7,0 of 0,0,0,--,0 of 1,0 of 0,1 of 1,1 of 2,0 of 0,0 of 0
12,1458,1,0,0 of 0,0 of 0,0 of 0,1,1,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
12,927,1,0,0 of 0,0 of 0,1 of 1,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
13,3747,1,0,5 of 12,5 of 12,0 of 0,1,0,--,1 of 4,2 of 2,2 of 6,3 of 10,2 of 2,0 of 0
13,3292,1,0,4 of 9,4 of 9,0 of 0,0,0,--,2 of 5,0 of 0,2 of 4,4 of 9,0 of 0,0 of 0
14,1458,1,0,0 of 0,0 of 0,1 of 2,1,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
14,3008,1,0,0 of 0,0 of 0,0 of 0,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
15,1458,1,0,4 of 4,11 of 11,1 of 2,0,0,--,3 of 3,0 of 0,1 of 1,0 of 0,1 of 1,3 of 3
15,3747,1,0,1 of 2,2 of 3,0 of 0,0,0,--,0 of 0,1 of 2,0 of 0,0 of 1,1 of 1,0 of 0
16,1538,1,1,34 of 50,36 of 52,0 of 0,0,0,--,29 of 45,0 of 0,5 of 5,6 of 8,2 of 3,26 of 39
16,4382,1,0,1 of 5,4 of 9,0 of 1,0,0,--,1 of 5,0 of 0,0 of 0,0 of 2,0 of 0,1 of 3
17,3644,1,0,8 of 9,16 of 20,1 of 1,0,0,--,5 of 6,3 of 3,0 of 0,0 of 1,0 of 0,8 of 8
17,2216,1,0,1 of 2,21 of 23,0 of 0,0,0,--,1 of 2,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0
18,1737,1,1,9 of 12,12 of 15,0 of 1,0,0,--,9 of 12,0 of 0,0 of 0,1 of 4,4 of 4,4 of 4
18,3048,1,0,3 of 4,3 of 4,1 of 2,0,0,--,0 of 0,2 of 2,1 of 2,2 of 2,1 of 2,0 of 0
19,1458,1,0,2 of 6,17 of 21,0 of 2,1,1,--,1 of 1,0 of 2,1 of 3,0 of 0,2 of 6,0 of 0
19,2224,1,0,6 of 9,6 of 10,1 of 1,0,1,--,3 of 6,2 of 2,1 of 1,0 of 1,3 of 3,3 of 5
20,3644,1,0,4 of 4,7 of 7,1 of 2,1,0,--,1 of 1,2 of 2,1 of 1,0 of 0,3 of 3,1 of 1
20,2636,1,0,3 of 3,21 of 22,0 of 0,0,0,--,0 of 0,1 of 1,2 of 2,0 of 0,3 of 3,0 of 0
21,1852,1,0,6 of 11,7 of 13,1 of 1,0,0,--,6 of 11,0 of 0,0 of 0,1 of 2,0 of 0,5 of 9
21,1737,1,0,2 of 6,3 of 7,0 of 0,1,0,--,2 of 6,0 of 0,0 of 0,1 of 4,1 of 1,0 of 1
24,2588,1,0,19 of 30,23 of 34,1 of 1,0,0,--,17 of 28,1 of 1,1 of 1,0 of 1,4 of 5,15 of 24
24,1161,1,1,9 of 12,12 of 15,0 of 0,0,0,--,5 of 8,2 of 2,2 of 2,1 of 4,4 of 4,4 of 4
25,1458,1,0,7 of 11,27 of 31,1 of 1,1,0,--,5 of 8,2 of 3,0 of 0,0 of 1,0 of 0,7 of 10
25,4132,1,0,0 of 2,0 of 2,0 of 0,0,0,--,0 of 2,0 of 0,0 of 0,0 of 0,0 of 0,0 of 2
26,1538,1,0,8 of 14,10 of 16,0 of 0,1,0,--,1 of 5,0 of 1,7 of 8,2 of 7,0 of 0,6 of 7
26,3781,1,0,0 of 0,4 of 4,1 of 1,1,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
27,1852,1,0,13 of 40,29 of 70,2 of 3,1,0,--,13 of 36,0 of 2,0 of 2,0 of 6,0 of 0,13 of 34
27,432,1,0,1 of 4,48 of 59,0 of 0,0,0,--,1 of 4,0 of 0,0 of 0,0 of 3,1 of 1,0 of 0
28,3635,1,0,0 of 0,0 of 0,2 of 5,1,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
28,2350,1,0,8 of 9,12 of 14,0 of 0,0,0,--,4 of 4,2 of 2,2 of 3,2 of 3,3 of 3,3 of 3
29,1458,1,0,11 of 23,45 of 58,0 of 2,3,0,--,7 of 15,3 of 5,1 of 3,2 of 10,9 of 13,0 of 0
29,1538,1,0,4 of 13,7 of 16,0 of 0,0,0,--,3 of 12,1 of 1,0 of 0,1 of 3,2 of 4,1 of 6
30,3635,1,0,0 of 0,0 of 0,1 of 1,1,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
30,421,1,0,1 of 2,2 of 3,0 of 0,0,0,--,0 of 0,1 of 2,0 of 0,1 of 2,0 of 0,0 of 0
31,1458,1,0,0 of 4,80 of 84,0 of 0,3,0,--,0 of 1,0 of 0,0 of 3,0 of 4,0 of 0,0 of 0
31,3635,1,0,4 of 7,27 of 43,1 of 1,0,0,--,4 of 7,0 of 0,0 of 0,0 of 0,0 of 0,4 of 7
32,327,1,0,12 of 18,12 of 18,1 of 1,0,0,--,12 of 18,0 of 0,0 of 0,0 of 0,0 of 0,12 of 18
32,582,1,0,0 of 0,0 of 0,0 of 0,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
33,2588,1,1,12 of 17,15 of 20,0 of 0,0,0,--,10 of 15,1 of 1,1 of 1,2 of 5,2 of 2,8 of 10
33,1009,1,0,0 of 4,2 of 7,0 of 0,0,0,--,0 of 0,0 of 2,0 of 2,0 of 4,0 of 0,0 of 0
34,1661,1,0,17 of 28,30 of 41,0 of 0,0,0,--,7 of 17,10 of 11,0 of 0,6 of 14,6 of 9,5 of 5
34,136,1,0,2 of 2,6 of 6,0 of 2,0,1,--,2 of 2,0 of 0,0 of 0,0 of 0,0 of 0,2 of 2
35,2552,1,0,4 of 4,64 of 66,1 of 1,1,0,--,3 of 3,1 of 1,0 of 0,0 of 0,0 of 0,4 of 4
35,836,1,0,1 of 2,15 of 16,0 of 0,0,0,--,0 of 1,1 of 1,0 of 0,0 of 1,1 of 1,0 of 0
36,3947,1,0,0 of 0,0 of 0,0 of 1,1,1,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
36,4167,1,0,2 of 5,7 of 11,0 of 0,0,0,--,2 of 5,0 of 0,0 of 0,0 of 2,0 of 0,2 of 3
37,3635,1,0,2 of 4,12 of 19,1 of 1,1,0,--,2 of 4,0 of 0,0 of 0,0 of 0,0 of 0,2 of 4
37,663,1,0,1 of 1,1 of 2,0 of 0,0,0,--,0 of 0,1 of 1,0 of 0,1 of 1,0 of 0,0 of 0
38,327,1,0,8 of 13,22 of 28,1 of 1,0,0,--,8 of 13,0 of 0,0 of 0,0 of 0,0 of 0,8 of 13
38,2552,1,0,0 of 0,0 of 0,0 of 0,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
39,3635,1,0,9 of 17,38 of 64,1 of 1,0,0,--,9 of 17,0 of 0,0 of 0,0 of 0,0 of 0,9 of 17
39,3947,1,0,0 of 0,0 of 0,0 of 0,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
40,3644,1,0,9 of 19,67 of 84,1 of 1,0,0,--,4 of 14,0 of 0,5 of 5,0 of 1,0 of 0,9 of 18
40,3644,2,0,1 of 3,31 of 39,0 of 0,0,0,--,1 of 3,0 of 0,0 of 0,1 of 2,0 of 0,0 of 1
40,1458,1,0,3 of 8,344 of 351,0 of 0,0,0,--,2 of 3,0 of 1,1 of 4,1 of 5,0 of 0,2 of 3
